Hate Speech	Expected Counter	Predicted Counter	Cosine Similarity
women are just a bunch of whores.	sexual harassment and verbal violence against women are serious issues. regardless of one's gender identity, gender presentation, or sexual orientation, no-one should be allowed to talk this way about them.	"women are human beings with dignity. they deserve respect and protection, not to be labelled as ""whores""."	0.8811281851243562
we should have never let women into the workplace. it's against their right.	there are many cases of domestic violence, where women do not want to have such a lifestyle. this, instead, is against their rights.	women have the right to work, and it is against their rights not only in the workplace but also in life.	0.9327056345832272
physically disabled folks are born for being mocked.	if someone has a physical handicap, it must be obvious that they must be treated with respect. it should be negatively surprising that the dominant culture interprets physical handicaps as something to mock.	i don't think it is fair to mock people who are physically disabled.	0.8300576082372859
physically disabled folks are born for being mocked.	you cannot blame others for their condition, it is also society's duty to promote inclusion.	i don't think it is fair to mock people who are physically disabled.	0.8391534425883777
physically disabled folks are born for being mocked.	being physically or mentally disabled is not a 'mocking attribute'. it is just a characteristic that should not affect how people are treated.	i don't think it is fair to mock people who are physically disabled.	0.8161158940307132
mentally disabled folks are gullible.	we should not judge people for their mental health. it's not a matter of choice for them.	i don't think it is possible to be gullible about people with mental disabilities. they are human beings, and deserve respect.	0.8978340863358137
mentally disabled folks are gullible and don't have the brain to make rational decisions.	just because someone has a diagnosed mental disorder doesn't mean they aren't able to make rational decisions.	the brain is a very important part of our society. it's not just about mental illness, but also about social and economic conditions.	0.8542614060284683
mentally disabled folks are gullible and don't have the brain to make rational decisions.	a person can have a diagnosable mental disorder, and still be rational and intelligent.	the brain is a very important part of our society. it's not just about mental illness, but also about social and economic conditions.	0.905156138223349
mentally ill people shouldn't be treated: they should just be isolated. they are a failure of society. we should not accept them.	the fact is that many of those diagnosed as having 'mental illness' are actually in need of mental healthcare. i can't see how you could say otherwise.	i don't see how isolation can help people. it is better to treat them as any other person would, than to isolate and discriminate against them.	0.8756588201637537
every person who is physically or mentally disabled should be removed from society.	unfortunately, there are some individuals who are in need of continuous healthcare. for example, children with down's syndrome. how could they just be 'removed'?	if society is to be inclusive, then people with disabilities should be accepted and treated as normal.	0.8586322644041731
children with down syndrome should be isolated so they do not hurt other children.	i believe that if we care enough about people with down syndrome to give them equal opportunities in our society, we will also see the benefits that would accrue to us as a society from sharing the disadvantages that they face.	children with down syndrome should be allowed to play and have fun, not isolated.	0.8859904098774939
people with physical disabilities are less intelligent.	many people with disabilities experience prejudice and discrimination, but the overwhelming majority of those people are just as intelligent as others.	people with physical disabilities are intelligent and capable of great things. they are just different from other people in many ways.	0.9317667580025917
